school_year,district,school,director,piece_slot,raw_string,parsed_title,parsed_composer,parsed_arranger,pdf_grade,confidence
2019-2020,9,Fitzgerald Middle School Band of Pride MB,Melodye Pizarro,1,One Hundred Years TBA,One Hundred Years TBA,,,,LOW
2019-2020,9,Tyrone Middle School Golden Eagle Concert Band MD,Josette Harris,1,Magic Meadow March Donald Josuweit,Magic Meadow March Donald Josuweit,,,,LOW
2019-2020,10,Celebration High School Symphonic Band,Tyler Kirby,1,Coast Guards March Karl King,Coast Guards March Karl King,,,,LOW
2019-2020,10,Gateway High School Symphonic Band,Jonathan Money,1,Orange Bowl Henry Fillmore,Orange Bowl Henry Fillmore,,,,LOW
2019-2020,10,Osceola County School for the Arts (6-12) Wind Ensemble,Justin Cusick and Stephen Grindel,1,Florentiner Fucik,Florentiner Fucik,,,,LOW
2019-2020,10,Melbourne High School Symphonic Band,"Joshua Sall, Daniel Kilbury",1,Blalock Canyon Steve Hodges,Blalock Canyon Steve Hodges,,,,LOW
2019-2020,10,Odyssey Charter School Wind Ensemble,Marli Varnadoe,1,Courage Harold Bennett/Arr. Larry Clark,Courage Harold Bennett,,Larry Clark,,LOW
2019-2020,10,Astronaut High School Symphonic Band,Christopher R Rodriguez,1,Manilla Bay King,Manilla Bay King,,,,LOW
2019-2020,10,Odyssey Charter School Symphonic Band MD,Marli Varnadoe,1,Achieve Larry Clark,Achieve Larry Clark,,,,LOW
2019-2020,10,Ronald McNair Middle School Advanced Band MC,Michelle Scheen,1,Double Eagle March Edmondson,Double Eagle March Edmondson,,,,LOW
2019-2020,10,Narcoossee Middle School Narcoossee Wind Ensemble MB,MG Yopp,1,Hickory Bridge March Michael Oare,Hickory Bridge March Michael Oare,,,,LOW
2019-2020,11,Manatee School for the Arts Symphonic Band,Paul Henry,1,Abe Lincoln Troutman,Abe Lincoln Troutman,,,,LOW
2019-2020,11,Lemon Bay High School Symphonic Winds,Philip J. Eyrich,1,"Coast Guards Karl L. King, arr. Swearingen",Coast Guards Karl L. King,,Swearingen,,LOW
2019-2020,11,Southeast High School Wind Ensemble,Andrea Vella,1,War March & Battle Hymn of the Vikings Alfred Reed,War March & Battle Hymn of the Vikings Alfred Reed,,,,LOW
2019-2020,11,Charlotte High School Concert Band,Paul Montanari,1,Coast Guards Karl King/Swearingen,Coast Guards Karl King,,Swearingen,,LOW
2019-2020,11,North Port High School Concert Band,Owen Bradley,1,The Advocate Milford,The Advocate Milford,,,,LOW
2019-2020,11,Manatee High School Concert Band,John Schindler and Jasper Miller,1,Pride of the Lions William Owens,Pride of the Lions William Owens,,,,LOW
2019-2020,11,Port Charlotte High School Port Charlotte High School Wind Orchestra,Jose Lopez,1,Florentiner Grand March Fucik/Fennell,Florentiner Grand March Fucik,,Fennell,,LOW
2019-2020,11,Woodland Middle School Symphonic Band MD,Mr. David W Wing and Mr. Joshua Parisi,1,Dark Crusader March Donald Josuweit,Dark Crusader March Donald Josuweit,,,,LOW
2019-2020,11,Sarasota Middle School Wind Ensemble MB,Tamara K. Lewis,1,Cirque de L'etrange March Matthew R. Putnam,Cirque de L'etrange March Matthew R. Putnam,,,,LOW
2019-2020,11,Sarasota School of Arts and Sciences Wind Ensemble MC,Shanna Holland,1,Briggs Bay March Phil Stonebarger,Briggs Bay March Phil Stonebarger,,,,LOW
2019-2020,11,L. A. Ainger Middle School Cougar Band MC,Tim Ostrow,1,Darkland's March Randall Standridge,Darkland's March Randall Standridge,,,,LOW
2019-2020,12,Tenoroc High School Concert Band,Michael Hill,1,Cirque De L'etrange Matthew Putnam,Cirque De L'etrange Matthew Putnam,,,,LOW
2019-2020,12,Haines City Senior High School Concert Band,Carrie Mitchell,1,Big Brass on Patrol Robert Sheldon,Big Brass on Patrol Robert Sheldon,,,,LOW
2019-2020,12,Union Academy Concert Band MC,Kent Kesler,1,Meawdowlawn March John O'Reilly,Meawdowlawn March John O'Reilly,,,,LOW
2019-2020,13,The Pine School Pine School Concert Band,Dorothy Castle,1,Pine School March Steve Knob,Pine School March Steve Knob,,,,LOW
2019-2020,13,Treasure Coast High School Symphonic Band I,Luke Hall,1,Belle of Chicago John Philip Sousa,Belle of Chicago John Philip Sousa,,,,LOW
2019-2020,13,Osceola Middle School Concert Band MD,Chris Bowen,1,Infinity James Curnow,Infinity James Curnow,,,,LOW
2019-2020,13,Southport Middle School Band MC,Jim LeBon,1,Space Cadets Dale Lauder,Space Cadets Dale Lauder,,,,LOW
2019-2020,13,Westgate K-8 Advanced Band MC,"James Le Bon, Zac Maes",1,Mt. Ranier March Molter,Mt. Ranier March Molter,,,,LOW
2019-2020,13,Indiantown Middle School Concert MD,Tavares Nottage,1,Veteren's Day Parade Michael Oare,Veteren's Day Parade Michael Oare,,,,LOW
2019-2020,13,Stuart Middle School Concert Band MD,Emily Roberts,1,Andalucía Victor Lopez,Andalucía Victor Lopez,,,,LOW
2019-2020,13,Dr. David L. Anderson Middle School Concert Band MD,John Egan,1,Recognition Larry Clark,Recognition Larry Clark,,,,LOW
2019-2020,13,Sebastian River Middle School Symphonic Band MD,Carol Fontaine and Doug Moser,1,Knights of Victory Mekel Rogers,Knights of Victory Mekel Rogers,,,,LOW
2019-2020,13,Oak Hammock K-8 School Osprey Band MC,Amy Isenhower,1,Majestic March Paul Lavendar,Majestic March Paul Lavendar,,,,LOW
2019-2020,14,Wellington Community High School Symphonic Band,Mary S. Oser,1,Coast Guards King,Coast Guards King,,,,LOW
2019-2020,14,Seminole Ridge Community High School Symphonic Band,Nickolaus Hofmann,1,Power Larry Clark,Power Larry Clark,,,,LOW
2019-2020,14,Wellington Community High School Wind Ensemble,Mary S. Oser,1,"Gallent Seventh Sousa, arr. Fennell",Gallent Seventh Sousa,,Fennell,,LOW
2019-2020,14,Wellington Community High School Wind Ensemble,Mary S. Oser,2,"Sussex Mummer's Christmas Carol, The Grainger / Simpson",The Sussex Mummer's Christmas Carol Grainger,,Simpson,4,LOW
2019-2020,14,Somerset Academy Canyons Concert Band,Eric Dunn,1,Loyalty Larry Clark,Loyalty Larry Clark,,,,LOW
2019-2020,14,Lake Worth Community High School Wind Ensemble,Tiffany Cox,1,Cirque de L'estrange Matthew Putnam,Cirque de L'estrange Matthew Putnam,,,,LOW
2019-2020,14,Loggers Run Middle School Concert Band MD,Craig Denny,1,Intuition March Larry Clark,Intuition March Larry Clark,,,,LOW
2019-2020,14,Jupiter Middle School JMS 1 MB,PAUL S DESTITO,1,Flag Patrol Ronald Knoerer,Flag Patrol Ronald Knoerer,,,,LOW
2019-2020,14,Bak Middle School of the Arts Symphonic Band MB,Jamie Groves,1,El Arco De Los Cabos Ed Huckeby,El Arco De Los Cabos,,Huckeby,,LOW
2019-2020,14,L. C. Swain Middle School Symphonic Band MC,Rachel Stern,1,Intuition March Larry Clark,Intuition March Larry Clark,,,,LOW
2019-2020,14,Conniston Middle School Symphonic Band MD,Andrew Lopez,1,Character Larry Clark,Character Larry Clark,,,,LOW
2019-2020,14,Christa McAuliffe Middle School Symphonic Band MB,Mr. Michael Norman,1,"All for One, One for All Carol Brittin Chambers","All for One, One for All Carol Brittin Chambers",,,,LOW
2019-2020,14,Western Pines Middle School Symphonic Band MB,Richard Powali,1,Marche Diablolique Brian Balmages,Marche Diablolique Brian Balmages,,,,LOW
2019-2020,15,Coral Springs High School Symphonic Band,Brett M. Dawson,1,Robinson's Grand Entree King/Schissel,Robinson's Grand Entree King,,Schissel,,LOW
2019-2020,15,Coral Springs Charter School Symphonic Band,David Cardona,1,Crown of Castile Johnnie Vinson,Crown of Castile Johnnie Vinson,,,,LOW
2019-2020,15,Dillard School of the Arts Wind Orchestra,"Sheldon A. McLean, Christopher Dorsey",1,136th USA Field Artillery Henry Fillmore,136th USA Field Artillery Henry Fillmore,,,,LOW
2019-2020,15,Ramblewood Middle School Honors Band MB,John Nista,1,El Zorro Rojo Randall Standridge,El Zorro Rojo Randall Standridge,,,,LOW
2019-2020,15,Tequesta Trace Middle School Symphonic Band MB,Heston Curry,1,Capstone March Tyler Arcari,Capstone March Tyler Arcari,,,,LOW
2019-2020,16,American Senior High School Symphonic Band,Nicolas Contreras,1,Regent March John Wasson,Regent March John Wasson,,,,LOW
2019-2020,16,South Miami Senior High School Cobra Wind Ensemble,Jennifer Jimenez,1,The Diplomat John Philip Sousa,The Diplomat John Philip Sousa,,,,LOW
2019-2020,16,Miami Norland Senior High School Symphonic Band,RANDALL H REID,1,Boys of theOld Brigade W. Paris Chambers/ Claude T. Smith,Boys of theOld Brigade W. Paris Chambers,,Claude T. Smith,,LOW
2019-2020,16,W.R. Thomas Middle School Wind Ensemble MC,Jeffrey I. Gross,1,Cadets In Step Matthew E. Putnam,Cadets In Step Matthew E. Putnam,,,,LOW
2019-2020,16,New World School of the Arts Wind Ensemble,Brent A. Mounger,1,The Fairest of the Fair Sousa,The Fairest of the Fair Sousa,,,,LOW
2019-2020,16,New World School of the Arts Wind Ensemble,Brent A. Mounger,2,"Leaves are Falling, The Benson",The Leaves are Falling Benson,,,6,LOW
2019-2020,16,Glades Middle School (Miami) Wind Ensemble MC,Christopher ILLA,1,Crown of Castile Johnnie Vinson,Crown of Castile Johnnie Vinson,,,,LOW
2019-2020,17,University Christian School Concert Band,Tyler Hardison,1,Barnstormer's March Len Orcino,Barnstormer's March Len Orcino,,,,LOW
2019-2020,17,Sandalwood High School Honors Ensemble,Stephen Panoff,1,Excel March John Pasternak,Excel March John Pasternak,,,,LOW
2019-2020,17,Sandalwood High School Wind Ensemble,Stephen Panoff,1,Capstone March Tyler Arcari,Capstone March Tyler Arcari,,,,LOW
2019-2020,17,Stanton College Preparatory Wind Ensemble,Galen Peters,1,Founder's March Clark,Founder's March Clark,,,,LOW
2019-2020,17,Julia Landon College Prep Symphonic Band MC,Christopher Evans,1,Astro March Siekman arr. Oliver,Astro March Siekman,,Oliver,,LOW
2019-2020,18,Barron Collier High School Concert Band,"Erica Cooter, Brett Robinson",1,Capstone Tyler Arcari,Capstone Tyler Arcari,,,,LOW
2019-2020,18,Gulf Coast High School Wind Ensemble,Justin Goff,1,White Rose Sousa,White Rose Sousa,,,,LOW
2019-2020,18,Golden Gate High School Symphonic Winds,Sarah Kocses,1,Crown of Castile Vinson,Crown of Castile Vinson,,,,LOW
2019-2020,18,Lehigh Senior High School Wind Ensemble,Jay D Parales,1,Acres of the Air King,Acres of the Air King,,,,LOW
2019-2020,18,Naples High School Symphonic Wind Ensemble,Mr. Brian T. Grieb,1,"The Vikings Andrew Boysen, Jr","The Vikings Andrew Boysen, Jr",,,,LOW
2019-2020,18,Lehigh Acres Middle School Advanced Band MB,Alec Prorock,1,Armstron'g March McGinty,Armstron'g March McGinty,,,,LOW
2019-2020,18,Varsity Lakes Middle School Wind Ensemble MB,Alexander Mabrich,1,Cluster Fluster Bluster David Holsinger,Cluster Fluster Bluster David Holsinger,,,,LOW
2019-2020,19,Lake Minneola High School Concert Band,Mr. Andy Deen,1,The Golden Thirteen (Concert March) Timothy Loest,The Golden Thirteen (Concert March) Timothy Loest,,,,LOW
2019-2020,19,Eustis High School Golden Panther Concert Band 1,Matthew Flenner,1,El Arco De Los Cabos Ed Huckeby,El Arco De Los Cabos,,Huckeby,,LOW
2019-2020,19,Mount Dora Christian Academy Concert Band,Brandon Perkins,1,New South Whales March Edmondson,New South Whales March Edmondson,,,,LOW
2019-2020,19,Horizon Academy at Marion Oaks Concert Band MC,Zachry Price,1,The Matrix March Huckeby,The Matrix March Huckeby,,,,LOW
2019-2020,19,Dunnellon High School Concert Band,Megan McMahon,1,Bay Shore Park Joseph Compello,Bay Shore Park Joseph Compello,,,,LOW
2019-2020,20,Key Largo School Key Largo Middle School Band MC,Susan Bazin,1,Cadet's Cavalcade Joseph Compello,Cadet's Cavalcade Joseph Compello,,,,LOW
2019-2020,20,Florida Christian School Symphonic Band,Austin Tindall,1,The Crusader Sousa,The Crusader Sousa,,,,LOW
2019-2020,20,Westwood Christian Day Secondary School Middle School Band MC,Eric Tindle,1,Westchester,Westchester,,,,LOW
2019-2020,20,Horace O'Bryant Middle School Advanced Band MC,Crystal Hendricks,1,Old Glory Les Taylor,Old Glory Les Taylor,,,,LOW
2019-2020,20,Key West High School Symphonic Band,Gary Hernandez,1,Croswinds March James Swearingen,Croswinds March James Swearingen,,,,LOW
2019-2020,20,Gulliver Preparatory Middle School Wind Ensemble MC,Robert Keating,1,Capstone Tyler Arcari,Capstone Tyler Arcari,,,,LOW
2019-2020,21,Oakleaf High School Symphonic Band,Christopher Gugel,1,American Big Top Brian balmages,American Big Top Brian balmages,,,,LOW
2019-2020,21,Flagler Palm Coast High School Symphonic Band 1,"John Seth, Ryan Schulz, and Susan Morden",1,Invincible Eagle John Philip Sousa,Invincible Eagle John Philip Sousa,,,,LOW
2019-2020,21,Bartram Trail High School Concert Band,Ben Gaona,1,Aline Harold Bennett/Larry Clark,Aline Harold Bennett,,Larry Clark,,LOW
2019-2020,21,Pacetti Bay Middle School Band MB,David Lee Sellers Jr.,1,"Crown of Castille, The Jonnie Vinson",The Crown of Castille Jonnie Vinson,,,,LOW
2020-2021,7,Wharton High School Wind Ensemble,Justin Swaim,1,The Capitol William Foden,The Capitol William Foden,,,,LOW
2020-2021,7,H. B. Plant High School Symphonic Band,Brian P. Dell,1,Coast Guards King,Coast Guards King,,,,LOW
2021-2022,1,Pine Forest High School Symphonic Band,"Ronald Barnard Gray, Jr.",1,Castle and Kings Bruce Pearson,Castle and Kings Bruce Pearson,,,,LOW
2021-2022,1,Pace High School Wind Ensemble,Anthony Denaro,1,"Persischer Marsch, Op. 289 Johann Strauss Jr./trans. van de Braak","Persischer Marsch, Op. 289 Johann Strauss Jr.",,van de Braak,,LOW
2021-2022,1,Jay Jr/Sr High School Jay Concert Band,Connie Wilkes,1,El Zorro Rojo Standridge,El Zorro Rojo Standridge,,,,LOW
2021-2022,1,Booker T. Washington High School Symphonic Band,Michael Young,1,Coast Guards March King/Swearingen,Coast Guards March King,,Swearingen,,LOW
2021-2022,1,West Florida High School Symphonic Band,Justin Mozina,1,Coast Guards Karl King/James Swearingen,Coast Guards Karl King,,James Swearingen,,LOW
2021-2022,1,Booker T. Washington High School Wind Ensemble,Lawrence,1,The Kilties March Samuel E. Morris,The Kilties March Samuel E. Morris,,,,LOW
2021-2022,1,Crestview Senior High School Concert Band,Kim Whaley,1,Ringmaster Burden,Ringmaster Burden,,,,LOW
2021-2022,1,Baker School Concert Band,Stuart Campbell,1,Coast Guards March Karl King/Swearingen,Coast Guards March Karl King,,Swearingen,,LOW
2021-2022,1,Navarre High School Symphonic Band,Dean Barrow,1,The Men in Gray N. K. Brahmstedt,The Men in Gray N. K. Brahmstedt,,,,LOW
2021-2022,1,Ernest Ward Middle School Advanced Band MD,Lee R. Barren Sr.,1,Trans-America March Robert W. Smith,Trans-America March Robert W. Smith,,,,LOW
2021-2022,1,Avalon Middle School (Santa Rosa) Symphonic Band MD,Mike Philley,1,Capstone (March) Tyler Arcari,Capstone (March) Tyler Arcari,,,,LOW
2021-2022,1,Destin Middle School Symphonic Band MD,Patrick Carnahan,1,Power Bennet/Clark,Power Bennet,,Clark,,LOW
2021-2022,1,R. Hobbs Middle School Symphonic Band MD,Robert Colón,1,The Raymond B. Hobbs March Robert Colón,The Raymond B. Hobbs March Robert Colón,,,,LOW
2021-2022,1,C.W. Ruckel Middle School Honor Band MC,Teri Bruse and Daniel Cooke,1,Coast Guards King/Swearingen,Coast Guards King,,Swearingen,,LOW
2021-2022,2,Holmes County High School Concert Band,Zachary Dobos,1,Streets of Madrid John Moss,Streets of Madrid John Moss,,,,LOW
2021-2022,2,Mowat Middle School Concert Band MD,Mrs. Michelle Birdwell,1,Recongition Clark,Recongition Clark,,,,LOW
2021-2022,2,Paxton School (K-12) Advanced Band,Kathleen Madson,1,Washington Post John Philip Sousa,Washington Post John Philip Sousa,,,,LOW
2021-2022,2,South Walton High School Symphonic Band,Ethan Mitchell,1,Ancient and Honorable Artillery Company Sousa,Ancient and Honorable Artillery Company Sousa,,,,LOW
2021-2022,3,Swift Creek Middle School Band MD,Emma Haley,1,Infinity James Curnow,Infinity James Curnow,,,,LOW
2021-2022,3,Madison Creative Arts Academy Symphonic Band MD,Dillard's Polikarpov,1,Gold Medallion John Edmondson,Gold Medallion John Edmondson,,,,LOW
2021-2022,3,Leon High School Symphonic Band,Lee Commander,1,Colossus of Columbia Alexander,Colossus of Columbia Alexander,,,,LOW
2021-2022,4,Trenton Jr/Senior High School Symphonic Band,Michaela Marler,1,Darkland's March Randal Standridge,Darkland's March Randal Standridge,,,,LOW
2021-2022,4,P.K. Yonge Developmental Research School Wind Ensemble,Robert Marski,1,The Fairest of the Fair Sousa/Balent,The Fairest of the Fair Sousa,,Balent,,LOW
2021-2022,4,Fort Clarke Middle School Beginning Band MD,W. Everett McConn,1,Intuition Larry Clark,Intuition Larry Clark,,,,LOW
2021-2022,4,Suwannee Middle School Concert Band MD,Robert Phillips,1,Majestic March Paul Lavender,Majestic March Paul Lavender,,,,LOW
2021-2022,4,Westwood Middle School Symphonic Band MD,David D. Dixson,1,Capstone March Tyler Arcari,Capstone March Tyler Arcari,,,,LOW
2021-2022,4,Kanapaha Middle School Symphonic Band MC,Morgan Polkowski,1,Screaming Eagles March John Edmonson,Screaming Eagles March John Edmonson,,,,LOW
2021-2022,5,Wesley Chapel High School Wind Ensemble,William Luckett,1,Women of the Podium Virginia Allen,Women of the Podium Virginia Allen,,,,LOW
2021-2022,5,River Ridge High School Royal Sound Symphonic Winds,Christopher T. Greco,1,Shadow Cove March Randall Standridge,Shadow Cove March Randall Standridge,,,,LOW
2021-2022,5,Crystal River High School Concert Band,Ty Ramsey,1,Kinderlou R. Alan Carter,Kinderlou R. Alan Carter,,,,LOW
2021-2022,5,River Ridge Middle School Symphonic Band MD,Travis A. Henry,1,Piccadilly Parade Putnam,Piccadilly Parade Putnam,,,,LOW
2021-2022,5,Thomas E Weightman Middle School Weightman Symphonic Band MC,Don Scott,1,Cape Spear Feldstien/O Reilly,Cape Spear Feldstien,,O Reilly,,LOW
2021-2022,5,Thomas E Weightman Middle School Weightman Concert Band MD,Don Scott,1,Reville March Ferguson,Reville March Ferguson,,,,LOW
2021-2022,6,Seminole High School Symphonic Band,Cheyne LaBonte & P.L. Malcolm,1,A Slavonic Farewell Vasily Agapkin,A Slavonic Farewell Vasily Agapkin,,,,LOW
2021-2022,6,DeLand High School Symphonic Band,Monica Leimer,1,The Peacemaker Karl King arr. Swearingen,The Peacemaker Karl King,,Swearingen,,LOW
2021-2022,6,Lake Howell High School Wind Ensemble,Jose Eslava & Ryder Jauschneg,1,Over the Sparkling Sea Reber Clark,Over the Sparkling Sea Reber Clark,,,,LOW
2021-2022,6,Paul J Hagerty High School Wind Ensemble,"Brad Kuperman, Brian Kuperman",1,The Gum-suckers March Grainger/Patterson,The Gum-suckers March Grainger,,Patterson,,LOW
2021-2022,6,University High School (Volusia) Wind Ensemble,Kyler Allenson,1,The Fairest of the Fair John Phillip Sousa arr. Brion and Schissel,The Fairest of the Fair John Phillip Sousa,,Brion and Schissel,,LOW
2021-2022,6,South Seminole Middle School Symphonic Band MD,Kaleb Daniels,1,Tenderfoot Jackson,Tenderfoot Jackson,,,,LOW
2021-2022,6,Ivy Hawn Charter School of the Arts Symphonic Band MD,Kyle Halpin,1,Ingenuity March Larry Clark,Ingenuity March Larry Clark,,,,LOW
2021-2022,6,Lawton M. Chiles Middle School (Seminole) Symphonic Band MC,Grace Kuperman,1,Shadow Cove March Standridge,Shadow Cove March Standridge,,,,LOW
2021-2022,6,Jackson Heights Middle School Symphonic Band MC,Jeremy Williamson,1,Bayrische Wanderwege Marsch Joseph Compello,Bayrische Wanderwege Marsch Joseph Compello,,,,LOW
2021-2022,7,Sickles High School Concert Band,Keith Griffis and Heather Lundahl,1,The Crown of Castille Johnnie Vinson,The Crown of Castille Johnnie Vinson,,,,LOW
2021-2022,7,H. B. Plant High School Campus Band,Brian P. Dell,1,The Navy Trident Robert W. Smith,The Navy Trident Robert W. Smith,,,,LOW
