"TITLE  5,407",COMPOSER,ARR./ED./TRANS./ADAPT.,PMEA GRADE LEVEL,PUBLISHER ,# SOURCE LISTS,OOP/POD/RENTAL
Armada of Freedom,"Curnow, James",,2,Curnow,1,
Armadillo Overture,"Erickson, Frank",,1,Alfred/Belwin,1,OOP
Armenian Dances,"Chobanian, Loris", ,6,Shawnee,5,
Armenian Dances,"Khatchaturian, Aram","McAlister, Clark",4,Masters,1,
Armenian Dances,"Khatchaturian, Aram",Satz,4,Kalmus,2,
"Armenian Dances, Set I","Reed, Alfred",,6,Belwin/Sam Fox,7,
"Armenian Dances, Set II","Reed, Alfred",,6,Barnhouse,6,
Armenian Rhapsody,"Vinson, Johnnie",,3,Hal Leonard,1,
Armida Overture,"Haydn, F. Joseph","Bowles, Richard",4, ,4,
Armory,"Standridge, Randall",,1,Grand Mesa,2,
Armstrong's March,"McGinty, Anne",,2,Queenwood,1,
Aroldo ,"Verdi, Giuseppe","Cesarini, F.",5,Mitropa,1,
Arrows of Lightning,"Putz, Marco",,2,De Haske,3,
Arsenal,"Van der Roost, Jan",,4,De Haske,1,
Arthurian Legend,"Wood, J.",,3,TRN,1,
As a Wind from the North,"Sheldon, Robert",,6,Alfred,1,
As One Listens to the Rain,French,,4,Boosey & Hawkes,1,
As Spirits Take Flight,"Earl, C.",,4,Barnhouse,1,
As Summer Was Just Beginning,"Daehn, Larry", ,3,Daehn,6,
As the Dawn Breaks,"Wada, Naoya",,2,Barnhouse,1,
As the Last Light Fades,Bell,,2,Barnhouse,1,
As the Moon Whispers,Yeo,,2,Barnhouse,1,
As the Robin in the Meadow,"Stalter, Todd",,2,,2,
As the Sun Rises (Scenery Poetry—Idyll for Wind Orchestra),"Koh, Chang Su",,6,,1,
As Torrents in Summer,"Elgar, Edward","Davis, Albert O.",3,LudwigMasters,7,
As Twilight Falls,"Sheldon, Robert", ,2,Alfred,3,
As Winds Dance,"Hazo, Samuel R. ",,3,Boosey & Hawkes,3,
Ascend,"Hazo, Samuel R. ",,3,,1,
Ascension  ,"Mitchell, Darren",,5,Grand Mesa,1,
"Ascension, The","Smith, Robert W.",,5,Belwin,1,
"Ase's Death (from ""Peer Gynt Suite"")","Grieg, Edvard","Kreines, Joseph",4,Kreines,1,
Ase's Tod,"Grieg, Edvard","Tolmage, Gerald",2,Staff/Plymouth,1,OOP
"Ash Grove, The",Anon. or Trad. ,"Kopetz, Barry",2,Wingert-Jones,1,
"Ash Grove, The","Brisman, Heskel",,3,Presser,1,
Ash Lawn Echoes,"Smith, Robert W",,2,,1,
Ashton Overture,"Swearingen, James",,2,Barnhouse,1,
Asian Folk Rhapsody,"Saucedo, Richard",,2,Hal Leonard,2,
Aspen Jubilee,"Nelson, Ron", ,6,Boosey & Hawkes,5,
Aspensong,"Cummings, Walter",,2,Grand Mesa,2,
Asphalt Cocktail,"Mackey, John",,6,Osti,1,
"Aspire, Achieve","Vultaggio, J. ",,1,Alfred,1,
Astro Overture,"Kinyon, John",,1,Belwin,1,
At Morning's First Light,"Gillingham, David",,3,C. Alan,3,
At the Crossroads,"Smith, Robert W.",,2,Alfred/Warner Bros.,1,
At the Cuzco Market,"Hannickel, Mike",,2,Curnow,1,
At the End of the Rainbow,"Saucedo, Richard",,4,Hal Leonard,1,
At the Strongholds of En Gedi,"Holsinger, David",,4,TRN,1,
At the Threshold,"Calhoun, Bill",,3,Carl Fischer,1,
